,Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
0,LPG,Energy,34.47,570275,0.4424287794,0.116000004,0.2621891012
1,CVI,Energy,22.15,1183798,0.3499874524,0.090299994,0.2580092325
2,APAM,Financial Services,40.81,465845,0.2906314274,0.0696,0.2394785747
3,XRX,Technology,10.43,2100858,0.4120486988,0.0959,0.2327394802
4,NWBI,Financial Services,13.33,707648,0.2667561391,0.06,0.2249245329
5,AVA,Utilities,38.54,529025,0.2263530667,0.0493,0.2178013345
6,MOV,Consumer Cyclical,19.13,144135,0.341515409,0.0732,0.2143387914
7,UVV,Consumer Defensive,52.45,148206,0.2946884371,0.0618,0.2097130129
8,SAFT,Financial Services,82.67,57066,0.2187694538,0.0435,0.1988394597
9,NWN,Utilities,40.33,249114,0.2571806151,0.0484,0.1881945884
10,PINC,Healthcare,20.29,1279498,0.2239890161,0.0414,0.1848304918
11,KSS,Consumer Cyclical,19.72,6275464,0.5658149657,0.1014,0.1792105302
12,SXC,Basic Materials,7.96,805891,0.339027971,0.060300004,0.1778614426
13,HMN,Financial Services,33.98,251006,0.2273671572,0.04,0.1759269039
14,EGBN,Financial Services,21.58,314148,0.4763043113,0.0834,0.1750981421
15,DIN,Consumer Cyclical,30.44,499029,0.3877171979,0.067,0.172806366
16,FHB,Financial Services,23.27,683282,0.2636517484,0.044699997,0.169541819
17,LNC,Financial Services,29.45,1416082,0.3629263737,0.061100002,0.1683537115
18,DLX,Communication Services,19.84,246090,0.3641198609,0.060500003,0.1661540869
19,VGR,Consumer Defensive,14.94,2033554,0.3280210747,0.0535,0.1630992766
20,CCOI,Communication Services,72.9,478548,0.3337776979,0.054,0.1617843263
21,BLMN,Consumer Cyclical,16.74,1668782,0.3571843074,0.0573,0.1604213814
22,CWEN,Utilities,29.16,762503,0.3619261267,0.0572,0.1580433016
23,NOG,Energy,34.44,1496727,0.3125816935,0.048800003,0.156119197
24,BRKL,Financial Services,10.03,585493,0.3488953401,0.0538,0.1542009704
25,CFFN,Financial Services,5.84,857738,0.3850433939,0.0582,0.1511517946
26,ENR,Industrials,29.08,657774,0.2754240644,0.041300002,0.1499505938
27,BGS,Consumer Defensive,9.14,939908,0.5570177689,0.0832,0.1493668688
28,ETD,Consumer Cyclical,30.81,241661,0.3412746235,0.0506,0.1482676897
29,HAFC,Financial Services,18.93,214177,0.3589714304,0.052800003,0.1470869226
30,TRST,Financial Services,33.2,83816,0.2951022761,0.0434,0.1470676559
31,AMSF,Financial Services,48.81,113411,0.2069730306,0.030299999,0.1463958802
32,PFS,Financial Services,18.34,985867,0.3575072354,0.0523,0.1462907455
33,GES,Consumer Cyclical,19.49,1269222,0.4217590354,0.0616,0.1460549623
34,UPBD,Technology,30.93,500704,0.3276115833,0.0478,0.145904487
35,RHI,Industrials,63.14,1688795,0.2313239128,0.0336,0.1452508718
36,VRTS,Financial Services,203.98,42091,0.3102379628,0.044099998,0.1421489414
37,CPF,Financial Services,26.93,223162,0.2715676226,0.038599998,0.1421377027
38,SPTN,Consumer Defensive,22.03,241380,0.281714151,0.0395,0.1402130488
39,PPBI,Financial Services,24.21,579101,0.3913598111,0.0545,0.1392580394
40,NAVI,Financial Services,15.77,706245,0.2916378139,0.040599998,0.1392137647
41,SBSI,Financial Services,33.81,116822,0.3106195564,0.042600002,0.137145267
42,PDCO,Healthcare,21.87,998708,0.3533088318,0.0476,0.1347263236
43,CMA,Financial Services,57.49,2567082,0.3719648835,0.0494,0.1328082359
44,HOPE,Financial Services,12.42,758170,0.3396986314,0.045100003,0.1327647474
45,BOH,Financial Services,64.47,326624,0.3342176871,0.0434,0.1298554854
46,FFBC,Financial Services,25.14,415895,0.295994966,0.0382,0.1290562489
47,WABC,Financial Services,49.98,123837,0.2753186112,0.0352,0.1278518726
48,FULT,Financial Services,17.83,1590956,0.2981818527,0.0381,0.1277743755
49,HFWA,Financial Services,21.72,209382,0.3279857992,0.0419,0.1277494334
50,EIG,Financial Services,47.64,128117,0.1977299657,0.0252,0.1274465401
51,OGN,Healthcare,20.47,1627516,0.429961508,0.0547,0.1272206907
52,CVBF,Financial Services,17.71,893280,0.3603566388,0.0452,0.1254312954
53,HVT,Consumer Cyclical,27.05,205208,0.3879107449,0.0473,0.1219352664
54,SFNC,Financial Services,20.93,551045,0.3327236313,0.0401,0.1205204447
55,FDP,Consumer Defensive,28.82,313022,0.2892432062,0.0347,0.1199682456
56,FBP,Financial Services,20.24,1048638,0.2673413159,0.031600002,0.1182009668
57,KMT,Industrials,25.14,724404,0.2700709393,0.0318,0.1177468412
58,SMP,Consumer Cyclical,33.23,174998,0.2999667545,0.0349,0.1163462266
59,PFBC,Financial Services,79.78,85240,0.303432821,0.035099998,0.1156763394
60,UTL,Utilities,61.22,67619,0.2414668922,0.0278,0.115129655
61,CMP,Basic Materials,9.42,873829,0.5536551506,0.0637,0.1150535671
62,ALGT,Industrials,41.55,434496,0.5038169818,0.057800002,0.1147242036
63,SJW,Utilities,59.64,195272,0.2364191291,0.026800001,0.1133580058
64,PZZA,Consumer Cyclical,49.6,1165085,0.3289936568,0.037100002,0.1127681377
65,RDN,Financial Services,35.13,849700,0.2477265193,0.0279,0.1126241958
66,TMP,Financial Services,57.7,61748,0.3762118253,0.0423,0.1124366571
67,MATW,Industrials,24.07,164280,0.3591937492,0.0399,0.1110821112
68,DAN,Consumer Cyclical,9.85,1066548,0.375008688,0.040599998,0.1082641531
69,INDB,Financial Services,60.8,272204,0.3465888763,0.0375,0.1081973559
70,MC,Financial Services,67.35,659274,0.3295826276,0.0356,0.108015402
71,BANR,Financial Services,57.55,177551,0.3110951012,0.0334,0.1073626678
72,JACK,Consumer Cyclical,44.41,548630,0.3699887396,0.0396,0.1070302843
73,AUB,Financial Services,37.73,487775,0.3168063619,0.0339,0.1070054269
74,FCF,Financial Services,16.72,597256,0.2921306537,0.0311,0.1064592148
75,KALU,Basic Materials,68.89,138003,0.4239939716,0.044699997,0.1054260202
76,CATY,Financial Services,42.32,330861,0.3050441482,0.0321,0.1052306697
77,MYE,Consumer Cyclical,13.75,257729,0.376072209,0.039300002,0.1045012129
78,AWR,Utilities,83.12,211514,0.2157684261,0.0224,0.1038150039
79,AROC,Energy,19.37,1671077,0.3295723333,0.0341,0.1034674229
80,CHCO,Financial Services,118.01,55424,0.2352212965,0.0242,0.1028818409
81,PTEN,Energy,7.91,7528582,0.3960917348,0.0405,0.1022490409
82,UCBI,Financial Services,27.83,563924,0.3215205274,0.0328,0.1020152594
83,MNRO,Consumer Cyclical,25.89,598677,0.4292304403,0.0433,0.1008782135
84,OXM,Consumer Cyclical,85.15,318354,0.3139243844,0.0312,0.09938699112
