Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
LPG,Energy,35.39,560098,0.43439801324632055,0.11359999,0.2615113019303438
CVI,Energy,24.6,1205206,0.3525426279588002,0.0836,0.23713444380907572
APAM,Financial Services,43.05,467488,0.2908264471693519,0.0673,0.2314094906259002
XRX,Technology,10.81,2105117,0.41164092656969353,0.094799995,0.23029778839045958
NWBI,Financial Services,13.8,714328,0.2640977388136311,0.059299998,0.2245380754351968
AVA,Utilities,38.34,530860,0.22597833991112923,0.049099997,0.2172774480036875
UVV,Consumer Defensive,52.9,146231,0.289257083329753,0.0622,0.2150336278164432
MOV,Consumer Cyclical,19.89,151246,0.343345182994409,0.0714,0.2079539878127915
SAFT,Financial Services,82.1,57174,0.21728722027213138,0.0436,0.20065607146796385
NWN,Utilities,40.01,251130,0.2538751590765166,0.048699997,0.1918265543472179
KSS,Consumer Cyclical,18.62,6361425,0.562248428290976,0.105399996,0.1874616107338466
PINC,Healthcare,20.35,1253820,0.22570958402982577,0.040999997,0.18164934012984654
SXC,Basic Materials,8.24,854838,0.3413143607075714,0.059899997,0.17549802731951455
HMN,Financial Services,34.59,248641,0.2264933723117419,0.0397,0.17528106714468247
DIN,Consumer Cyclical,30.79,509276,0.38822796840393503,0.0679,0.1748972395758795
EGBN,Financial Services,23.75,301090,0.4755954487278281,0.0798,0.16778966286043587
DLX,Communication Services,19.99,246193,0.3615576568678522,0.060599998,0.16760811684911722
CCOI,Communication Services,72.41,469831,0.33452749085861677,0.0558,0.16680243485155924
VGR,Consumer Defensive,14.94,2063884,0.32270942350292103,0.0537,0.16640356955524085
FHB,Financial Services,24.2,679933,0.26536912255134293,0.044099998,0.16618360710548624
LNC,Financial Services,31.91,1441631,0.3635186932534934,0.0594,0.16340287611723575
BLMN,Consumer Cyclical,17.21,1663255,0.36099254918163154,0.0573,0.1587290378427445
CWEN,Utilities,29.07,768566,0.36057711909709594,0.056900002,0.15780258642722697
BRKL,Financial Services,10.47,592544,0.3478620783433326,0.0525,0.15092188332234246
ENR,Industrials,29.29,659709,0.27442797730989227,0.041100003,0.14976608217167542
