Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
LPG,Energy,34.47,570275,0.43607847071512224,0.116000004,0.2660071794183564
CVI,Energy,22.15,1183798,0.3499874524257353,0.090299994,0.25800923254287517
APAM,Financial Services,40.81,465845,0.2906314916429045,0.0696,0.23947852177532328
XRX,Technology,10.43,2100858,0.41204869881666795,0.0959,0.23273948024932026
NWBI,Financial Services,13.33,707648,0.26486735751041396,0.06,0.22652848038339696
AVA,Utilities,38.54,529025,0.2263529906706228,0.0493,0.2178014076771745
MOV,Consumer Cyclical,19.13,144135,0.34082487003274653,0.0732,0.21477305923410733
UVV,Consumer Defensive,52.45,148206,0.29468843707457926,0.0618,0.2097130128806505
SAFT,Financial Services,82.67,57066,0.21791791901454288,0.0435,0.19961644364407224
NWN,Utilities,40.33,249114,0.25472349578801345,0.0484,0.19000995510943974
PINC,Healthcare,20.29,1279498,0.22527172720685595,0.0414,0.18377805556568763
KSS,Consumer Cyclical,19.72,6275464,0.5631301159733167,0.1014,0.18006495679020784
SXC,Basic Materials,7.96,805891,0.3390279710429448,0.060300004,0.17786144256622935
HMN,Financial Services,33.98,251006,0.22699863663549855,0.04,0.17621251207878275
EGBN,Financial Services,21.58,314148,0.4740803416188958,0.0834,0.17591954923759248
DIN,Consumer Cyclical,30.44,499029,0.3891765309045571,0.067,0.172158377187527
LNC,Financial Services,29.45,1416082,0.36209966796289594,0.061100002,0.16873807795444007
FHB,Financial Services,23.27,683282,0.2652662674351016,0.044699997,0.16850991809931512
DLX,Communication Services,19.84,246090,0.3628169254697325,0.060500003,0.16675077360757562
VGR,Consumer Defensive,14.94,2033554,0.3280210746978847,0.0535,0.16309927662201212
CCOI,Communication Services,72.9,478548,0.3337777696708154,0.054,0.16178429154600948
BLMN,Consumer Cyclical,16.74,1668782,0.3571843460735007,0.0573,0.1604213640096336
CWEN,Utilities,29.16,762503,0.36192614259325806,0.0572,0.15804329466269817
NOG,Energy,34.44,1496727,0.3133759370449965,0.048800003,0.15572351680911922
BRKL,Financial Services,10.03,585493,0.34889521346837576,0.0538,0.15420102633444838
CFFN,Financial Services,5.84,857738,0.38504343899322024,0.0582,0.15115177693243273
ENR,Industrials,29.08,657774,0.27573664676042775,0.041300002,0.14978060582525063
BGS,Consumer Defensive,9.14,939908,0.557017779813363,0.0832,0.14936686586176368
GES,Consumer Cyclical,19.49,1269222,0.4126702015312557,0.0616,0.14927174235364413
ETD,Consumer Cyclical,30.81,241661,0.34175891996217633,0.0506,0.14805758399985605
HAFC,Financial Services,18.93,214177,0.358374605008009,0.052800003,0.147331876372267
TRST,Financial Services,33.2,83816,0.29510227607143347,0.0434,0.14706765592514254
PFS,Financial Services,18.34,985867,0.3560195449632335,0.0523,0.14690204720474284
AMSF,Financial Services,48.81,113411,0.20697308062987546,0.030299999,0.14639584484991405
UPBD,Technology,30.93,500704,0.32761158327667333,0.0478,0.14590448702063175
RHI,Industrials,63.14,1688795,0.23241280489622532,0.0336,0.14457034764071083
VRTS,Financial Services,203.98,42091,0.3102379628496956,0.044099998,0.1421489413962069
CPF,Financial Services,26.93,223162,0.2715676121178014,0.038599998,0.14213770817138527
SPTN,Consumer Defensive,22.03,241380,0.28171415098738656,0.0395,0.14021304879984026
NAVI,Financial Services,15.77,706245,0.29280484718564675,0.040599998,0.13865889991315078
PPBI,Financial Services,24.21,579101,0.39308936823538315,0.0545,0.13864531682618603
SBSI,Financial Services,33.81,116822,0.3106195563650684,0.042600002,0.13714526702218516
PDCO,Healthcare,21.87,998708,0.3526511759703353,0.0476,0.1349775734308173
CMA,Financial Services,57.49,2567082,0.3719648616661649,0.0494,0.13280824371076227
HOPE,Financial Services,12.42,758170,0.33962153428507136,0.045100003,0.13279488621043675
BOH,Financial Services,64.47,326624,0.3342177588348425,0.0434,0.1298554575654569
FFBC,Financial Services,25.14,415895,0.29498137874812286,0.0382,0.12949969981874013
HFWA,Financial Services,21.72,209382,0.3260799320310537,0.0419,0.1284961013669793
FULT,Financial Services,17.83,1590956,0.2972727289400296,0.0381,0.12816513689584394
WABC,Financial Services,49.98,123837,0.2753186112066652,0.0352,0.12785187258400585
EIG,Financial Services,47.64,128117,0.19750036741866356,0.0252,0.12759469933835996
OGN,Healthcare,20.47,1627516,0.42974851133797604,0.0547,0.1272837451599248
CVBF,Financial Services,17.71,893280,0.3603566599921542,0.0452,0.12543128799391165
HVT,Consumer Cyclical,27.05,205208,0.38137016746660257,0.0473,0.1240264814476926
SFNC,Financial Services,20.93,551045,0.3327236312783886,0.0401,0.12052044468836803
FDP,Consumer Defensive,28.82,313022,0.29004731285900026,0.0347,0.11963565412125916
FBP,Financial Services,20.24,1048638,0.2674442848573997,0.031600002,0.11815545812410613
KMT,Industrials,25.14,724404,0.2697287576538393,0.0318,0.11789621646799352
SMP,Consumer Cyclical,33.23,174998,0.29996675448869875,0.0349,0.11634622663264124
PFBC,Financial Services,79.78,85240,0.30244709463579333,0.035099998,0.11605334824679801
UTL,Utilities,61.22,67619,0.2414668921923678,0.0278,0.11512965503300866
CMP,Basic Materials,9.42,873829,0.5536551505639152,0.0637,0.11505356707170437
ALGT,Industrials,41.55,434496,0.5038170171464086,0.057800002,0.11472419555690275
SJW,Utilities,59.64,195272,0.23641912907672388,0.026800001,0.11335800577838494
PZZA,Consumer Cyclical,49.6,1165085,0.3287431422836012,0.037100002,0.11285407124323966
RDN,Financial Services,35.13,849700,0.24750255979591795,0.0279,0.1127261068451388
